,tweet_id,sentiment,tweet
1,1.24E+18,0,  shaheen bagh is still on mosques are open muiiahs are saying corona won t harm if you read qalma tiktokiye are m 
2,1.24E+18,0,  shaheen bagh is still on mosques are open muiiahs are saying corona won t harm if you read qalma tiktokiye are m 
3,1.24E+18,1,  daughter of an ias son of a kolkata officer son of railway official and a famous elite singer all these are very in 
4,1.24E+18,1,  the young actors have something to say its time to be zyada savdhan and do corona ka punchnama indiafightscorona 
5,1.24E+18,0,  shaheen bagh is still on mosques are open muiiahs are saying corona won t harm if you read qalma tiktokiye are m 
6,1.24E+18,0,  explosive batsmen who ve seen teams through crises have something to say to us we too will come together to fight covid 
7,1.24E+18,0,  no more spreading rumors this is the official website for corona updates updating every 4 hrs keep this link for getti 
8,1.24E+18,1,  that son of a top official in west bengal amp kanika kapoor both dodged mandatory corona screening this is all you need to know 
9,1.24E+18,0,  corona has proven that india s bigger problem is not illiteracy it is stupidity of literate people
10,1.24E+18,0,  being a cancer patient i am scared of covid 19 if you catch corona you may recover but people like us who are immunodefici 
11,1.24E+18,1, i think all restaurants must be closed in hyderabad which restricts the people gathering please take necessary actions if restaurants remains open my sincere thanks for all work you are doing stop
12,1.24E+18,0,  corona has proven that india s bigger problem is not illiteracy it is stupidity of literate people
13,1.24E+18,0,  one person sent to quarantine travelled to dehradun m stayed in doon hotel for 3 days went back to faridabad diagnosed c 
14,1.24E+18,0,  corona has proven that india s bigger problem is not illiteracy it is stupidity of literate people
15,1.24E+18,1,  all those corona jokes are okay but don t take corona as a joke 
16,1.24E+18,0, delhi government will pay salaries to all contract workers daily wage labourers guest teachers etc those whose offices have been declared closed under orders related to corona virus 
17,1.24E+18,0,  corona has proven that india s bigger problem is not illiteracy it is stupidity of literate people
18,1.24E+18,0,  corona has proven that india s bigger problem is not illiteracy it is stupidity of literate people
19,1.24E+18,0,  corona has proven that india s bigger problem is not illiteracy it is stupidity of literate people
20,1.24E+18,1,  the young actors have something to say its time to be zyada savdhan and do corona ka punchnama indiafightscorona 
21,1.24E+18,0,  corona has proven that india s bigger problem is not illiteracy it is stupidity of literate people
22,1.24E+18,1,  kanika kapoor played a best victim card she just told that she is a single mother and hence she is ge 
23,1.24E+18,0, ngo to save suffering humanity from corona
24,1.24E+18,1,  try to stay away from people like always our vilupuram runner used be in airpo  aware of corona stay safe be va 
25,1.24E+18,0,  time traveller 
26,1.24E+18,0,  shaheen bagh is still on mosques are open muiiahs are saying corona won t harm if you read qalma tiktokiye are m 
27,1.24E+18,1,  let us heed these impo ant words of our champion shuttlers indiafightscorona 
28,1.24E+18,0,all of us should pa icipate in janata curfew on 22 03 20 as proposed by our this will definately help in deterring the corona advancement jai hind 
29,1.24E+18,0,  athletes and achievers from various spo s are raising awareness about the nation s battle against coronavirus let us ta 
30,1.24E+18,0,  up police to register fir against kanikakapoor for putting others at risk of corona 
31,1.24E+18,1,  hello mama ji corona is spreading everywhere this gathering of crowd isn t acceptable to us please main 
32,1.24E+18,1,  kanika kapoor played a best victim card she just told that she is a single mother and hence she is ge 
33,1.24E+18,0,  corona has proven that india s bigger problem is not illiteracy it is stupidity of literate people
34,1.24E+18,1,  impo ant s delhi govt to pay the salaries of the contract workers daily wage labourers and guest t 
35,1.24E+18,0,  shaheen bagh is still on mosques are open muiiahs are saying corona won t harm if you read qalma tiktokiye are m 
36,1.24E+18,0,  shaheen bagh is still on mosques are open muiiahs are saying corona won t harm if you read qalma tiktokiye are m 
37,1.24E+18,1,must watch strong message coronavirusindia corona gayacity vvi8055 bihar 
38,1.24E+18,0,  kunal kamra is that person who will intentionally spit amp sneeze in public places to spread corona and when the authoritie 
39,1.24E+18,0,  china repo ed to the world that it had noticed cases of pneumonia without any known etiology on 30 dec 2019 they repo ed 
40,1.24E+18,1,  haha am sure kanikakapoorcriminal must have got inspired on her criminal behavior from these scumbugs amp scumbaginis 
41,1.24E+18,0,  corona has proven that india s bigger problem is not illiteracy it is stupidity of literate people
42,1.24E+18,0,  how to scare corona curfew sunday sta  day with yoga amp have baba s quack medicine if get thirsty drink cow urine by hi 
43,1.24E+18,1,  as someone said our grandparents were asked to go to war we those of us with economic privilege are only being asked to sit 
44,1.24E+18,1,  namaste mygov family for sharing the new mygov corona helpdesk pls share this link this will 
45,1.24E+18,1, you deserve that coz of your negligence you pushed so many impo ant lives in risk and whole lucknow 
46,1.24E+18,1,  as someone said our grandparents were asked to go to war we those of us with economic privilege are only being asked to sit 
47,1.24E+18,0,  in the wake of disruptions caused by the corona pandemic government intervention for deferment of itr and gst due dates 
48,1.24E+18,1,corona virus realise 1 citizen of other country wants to fly to native country 2 each country has own soil to safeguard citizen 3 time for w h o red cross society mothe hersa institution social institution to play role in eradicate corona virus 
49,1.24E+18,0,  sayema we must listen to what kanikakapoor also has to say while it was imp for her to go into a self quarantine after the travel 
50,1.24E+18,1, corona itself telling us to take precaution c clean your hands o off from gatherings r raise your immunity o offer mask to poor people n no to hand shake a avoid rumours take care amp stay fit master
51,1.24E+18,0, think about tex man 
52,1.24E+18,1,  get all your doubts cleared at first hand on corona whatsapp no you can message with a hi and get automated response 
53,1.24E+18,0,  troll mills in russia don t stop for corona
54,1.24E+18,0,  shaheen bagh is still on mosques are open muiiahs are saying corona won t harm if you read qalma tiktokiye are m 
55,1.24E+18,1,cities come to a standstill amid corona virus spread and low key celebrations for parsee new year cyrus broacha brings you all the details in his own style only on 
56,1.24E+18,1,  this lady from mohali was tested positive for corona these confirmed cases of corona virus not cooperating with health c 
57,1.24E+18,0,  normal human with the flu hmm i feel ill i think i ll stay home untill it passes corona infected human who s in the moo 
58,1.24E+18,0,  coronaharegadeshjeetega for the discharge policy on covid19 case please click here help 
59,1.24E+18,0,  the word corono comes in kuttystory song wooow illuminati problems will come and go konjam chill pannu maapi 
60,1.24E+18,0,  up police to register fir against kanikakapoor for putting others at risk of corona 
61,1.24E+18,1,  this lady from mohali was tested positive for corona these confirmed cases of corona virus not cooperating with health c 
62,1.24E+18,1,i have a beautiful face uh plz see that uh too uh master 
